PRDCT_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY,DAY_INTK_LOWLIMIT,DAY_INTK_HIGHLIMIT,INTK_UNIT,INTK_MEMO,SKLL_IX_IRDNT_RAWMTRL,CRET_DTM,LAST_UPDT_DTM
홍국쌀(제2009-19호),,콜레스테롤 개선,4,8,mg,,총모나콜린K,20201029,20201029
헤모힘 당귀등 혼합추출물(제2006-17호),"1) 어린이, 임산부 및 수유부는 섭취를 피할 것
2) 월경불순이나 출혈성 질환이 있는 여성의 경우 전문가와 상담할 것
3) 항응고제 복용시 전문가와 상담할 것
4) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
5) 이상사례 발생시 섭취를 중단하고 전문가와 상담할 것","(국문) 면역기능 개선에 도움을 줄 수 있음
(영문) May help to improve immune function",20,40,g/일,,"nodakenin, paeoniflorin, chlorogenic acid",20201029,20210630
쇠비름주정추출분말(KDC16-2)(제2019-18호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 배변활동 원활에 도움을 줄 수 있음
(영문) May help to improve bowel movements",480,480,mg/일,,리놀렌산(Linolenic acid),20201029,20201029
차조기등복합추출물(New제2007-13호),,,2400,2400,mg,,,20201029,20201029
토치대두발효추출물(제2008-18호),,"(국문) 콩발효추출물은 발효시킨 콩을 추출한 것으로 당의 흡수를 억제하여 식후혈당을 건강하게 유지하는데 도움을 줄 수 있는 식품입니다.
(영문) May help to maintain healthy blood glucose level",900,900,mg/일,,"α-Glucosidase 활성 억제능(IC50), Tris(2-Amino-2-(hydroxymethyl)-1,3-propanediol)",20201029,20201029
APIC 대두배아열수추출물 등 복합물(제2008-6호),"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것 (2) 알레르기성 비염, 천식, 우유, 대두알레르기반응을 나타내는 사람은 섭취에 주의 (3) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 체지방의 감소에 도움을 줄 수 있음 (영문) May help to reduce body fat,700,700,mg,,"Daidzin, Glycitin, Genistin 함량의 총 합, L-carnitine",20201029,20211125
프로바이오틱스(드시모네)(제2009-28호),,"- 유익한 유산균 증식, 유해균 억제, 배변활동 원활
- 장 면역을 조절하여 장 건강에 도움을 줄 수 있음",100000000,3000000000000,,,"Streptococcus thermophillus DSM24731, Lactobacillus acidophillus DSM24735, Lactobacillus delbrueckii ssp bulgaricus DSM24734, Lactobacillus paracasei DSM24733, Lactobacillus plantarum DSM24730, Bifidobacterium longum DSM24736, Bifidobacterium infantis DSM24737, Bifidobacterium breve DSM24732",20201029,20201029
밀 추출물(Ceratiq®)(제2020-15호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-밀 알레르기를 나타내는 사람은 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","- (국문) 피부보습에 도움을 줄 수 있음
  (영문) May help to maintain skin moisturizing",350,350,mg/일,밀 추출물(CeratiqⓇ),글루코실세라마이드(Glucosylceramide),20210305,20210305
실크단백질 산가수분해물(Sil-Q1)(제2021-1호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
-간, 신장 기능 이상자는 섭취에 주의","- (국문) 면역기능 증진에 도움을 줄 수 있음
   (영문) May help to improve immune function",7.5,7.5,g/일,,"세린(Serine), 글리신(Glycine)",20210315,20210315
복분자 추출물(RE-20)(제2021-2호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음
(영문) May help to improve blood cholesterol",600,600,mg/일,복분자 추출물(RE-20)(제2021-2호),Ellagic acid,20210527,20210527
보스웰리아추출물등 복합물(Flexir)(제2021-9호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
-질환이 있거나 의약품 복용 시 전문가와 상담할 것
-제안된 섭취량 이상 섭취 시 소화불량, 위장장애, 메스꺼움, 위산 역류 등이 있을 수 있음","(국문) 관절 및 연골 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint and cartilage",200,400,mg,보스웰리아추출물등 복합물(Flexir),"AKBA(3-O-Acetyl-11-Keto-β-Boswellic Acid), Total curcuminoids(Bisdemethoxycurcumin, Demethoxycurcumin, Curcumin 3종의 합), Gallic acid",20210913,20210913
,,,100,1000,g,,,20211009,20211009
루바브뿌리추출물(제2021-17호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의 (3) 메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있음 (4) 알레르기 체질이거나 특정질환이 있는 사람은 섭취 전 전문가와 상담할 것 (5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 갱년기 여성 건강에 도움을 줄 수 있음 (영문) May help to maintain female health in menopause,4,4,mg,제2021-17호,라폰티신,20211217,20220210
꾸지뽕잎추출물(제2021-16호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 위 불편감 개선에 도움을 줄 수 있음 (영문) May help to reduce stomach discomfort,100,100,mg,제2021-16호,루틴,20220121,20220121
저분자콜라겐펩타이드SH(제2022-5호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 피부 보습에 도움을 줄 수 있음 (영문) May help to moisturize (dry) skin,2,2,g,제2022-5호,Val-Gly-Pro-Hyp-Gly-Pro-Ala-Gly,20220209,20220210
사삼추출물(제2022-7호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (4) 식사조절, 운동을 병행하는 것이 체지방 감소에 효과적임",(국문) 체지방 감소에 도움을 줄 수 있음 (영문) May help to reduce body fat,750,750,mg,제2022-7호,"리놀레산(Linoleic acid), 베타시토스테롤(β-Sitosterol)",20220221,20220221
타히보 추출물 (TabetriⓇ)(제2022-2호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 (2)특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (4) 항응고제 또는 면역억제제를 복용하는 분은 섭취에 주의할 것",(국문) 관절 및 연골 건강 개선에 도움을 줄 수 있음 (영문) May help to maintain healthy joint and cartilage,600,600,mg,제2022-2호,베라트릭산(Veratric acid),20220325,20220325
유산균복합물(AB-LIFE®)(제2022-15호),"(1) 질환이 있거나 의약품 복용 시 전문가와 상담할 것 (2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의할 것 (3) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 (4) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것 (5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (6) 과다섭취에 주의할 것",(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음 (영문) May help to reduce blood cholesterol levels,1200000000,1200000000,CFU,제2022-15호,프로바이오틱스 수,20220413,20220413
L-글루탐산발효 가바분말(제2022-19호),"(1) 영유아, 임산부, 수유부 및 특정 질환자는 섭취에 주의할 것 (2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 (3) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (4) 의약품(혈압약, 항우울제 등) 복용 시 섭취에 주의할 것",(국문) 수면의 질 개선에 도움을 줄 수 있음 (영문) May help to improve sleep quality,375,375,mg,제2022-19호,γ-aminobutyric acid(GABA),20220503,20220503
보스웰리아추출물(SERRATRIN)(제2022-17호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 관절 및 연골 건강에 도움을 줄 수 있음
(영문) May help to maintain joint and cartilage health",400,400,mg/일,건강기능식품 기능성 원료 인정,보스웰리아추출물(SERRATRIN),20220704,20220704
루테인지아잔틴추출복합물(제2022-29호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 흡연자는 섭취 시 전문가와 상담할 것","(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
(영문) May support eye health by maintaining the density of macular pigments which can be affected by aging",12,12,mg/일,제2022-29호,"루테인(Lutein), 총지아잔틴(Total Zeaxanthin)",20220926,20220926
청호추출분말(리베라템)(제2021-19호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 삼가
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 간 건강에 도움을 줄 수 있음
(영문) May help to protect liver",686,686,mg/일,제2021-19호,Scopoletin,20221028,20221028
Weissella cibaria JW15 프로바이오틱스(제2022-35호),"(1) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(2) 특정질환(알레르기 체질, 단장증후군, 유당불내증 등)이 있는 분은 섭취에 주의할 것
(3) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(4) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
(5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
※ 유산균의 정성적 품질관리를 위해 원 균주(전장유전체 정보 등)를 주기적으로 관리하여야 하며, 식약처 요청 시 관련자료를 제출하여야 함","(국문) 면역 기능에 도움을 줄 수 있음
(영문) May help immune function",100000000000,100000000000,CFU/일,제2022-35호,프로바이오틱스 수,20221201,20221201
루테인지아잔틴추출복합물(제2021-21호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 흡연자는 섭취 시 전문가와 상담할 것","(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
(영문) May support eye health by maintaining the density of macular pigments which can be affected by aging",12,12,mg/일,제2021-21호,"루테인(Lutein), 총지아잔틴(Total Zeaxanthin)",20221229,20230102
비수리추출분말(제2022-40호),"(1) 성인 남성만 섭취할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 갱년기 남성건강에 도움을 줄 수 있음
(영문) May help to maintain male health in menopause",1250,1250,mg/일,제2022-40호,D-피니톨(D-pinitol),20230109,20230109
천심련추출물(ParActinⓇ)(제2022-37호),"(1) 영·유아, 어린이, 청소년, 임산부 및 수유부, 임신을 계획하고 있는 자는 섭취하지 말 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 의약품을 복용하시는 분은 섭취 전 전문의와 상담할 것","(국문) 관절 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint",300,300,mg/일,,안드로그라폴라이드(Andrographolide),20230206,20230206
콜레우스포스콜리 추출물,"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 항응고제 또는 혈압조절제를 복용하거나 혈압이 낮은 경우 전문가와 상담할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 체지방 감소에 도움을 줄 수 있음,50,50,mg,,콜레우스 포스콜리(Coleus forskohlii)의 뿌리,20230217,20241223
Bacillus coagulans Unique IS-2 프로바이오틱스(제2022-45호),"(1) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의
(3) 영·유아, 임산부 및 수유부는 섭취에 주의
(4) 어린이가 함부로 섭취하지 않도록 일일 섭취량 방법을 지도할 것
(5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 배변활동 원활에 도움을 줄 수 있음
(영문) May help to improve bowel movements",2000000000,2000000000,CFU/일,제2022-45호,프로바이오틱스 수,20230224,20230224
현삼추출물(제2022-42호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 천연물 소재의 추출물 섭취 시 있을 수 있는 경미한 소화불량이 있을 수 있음","(국문) 기억력 개선에 도움을 줄 수 있음
(영문) May help to improve memory",300,300,mg/일,제2022-42호,앤고로사이드 C(Angoroside C),20230427,20230427
해국추출물(제2022-36호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",700,700,mg/일,제2022-36호,클로로겐산(chlorogenic acid),20230517,20230517
에키네시아추출물(제2023-1호),"(1) 영‧유아, 어린이, 임산부, 및 수유부는 섭취 시 전문가와 상담할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취 시 주의할 것 
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 8주 이상 연속으로 섭취하지 말 것
(5) 결핵, 백혈병, 교원증, 다발성 경화증, AIDS, HIV 감염 및 자가면역 장애가 있는 경우 섭취를 금지할 것
(6) 면역억제제를 복용할 경우 섭취 전 전문가와 상담할 것","(국문) 면역기능 증진에 도움을 줄 수 있음
(영문) May help to improve immune function",200,200,mg/일,,"Chicoric acid, 총 폴리페놀",20230612,20230612
참당귀·녹용·황기 복합추출물(제2023-23호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 소화불량, 속쓰림 등이 나타날 수 있음
(4) 혈액응고방지제 또는 혈당강하제를 복용하는 분은 섭취에 주의할 것","(국문) 피로개선에 도움을 줄 수 있음 
(영문) May help to reduce fatigue",500,500,mg/일,제2023-23호,"노다케닌(Nodakenin), 하이포잔틴(Hypoxanthine), 칼리코신-7-글루코시드(Calycosin-7-glucoside)",20230803,20260813
Lactiplantibacillus plantarum TWK10 프로바이오틱스(제2022-32호),"(1) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(2) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(3) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(5) 어린이가 함부로 섭취하지 않도록 일일 섭취량 방법을 지도할 것","(국문) 운동수행능력 향상에 도움을 줄 수 있음
(영문) May help to improve endurance of exercise performance capability",10000000000,10000000000,CFU/일,제2022-32호,프로바이오틱스 수,20230828,20230828
저분자 피쉬 콜라겐 펩타이드 (Naticol® BPMG)(제2023-25호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음
          ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
 (영문) ① May help to moisturize (dry) skin
           ② May help to maintain good skin health by protecting against damage from UV exposure",1.5,1.5,g/일,제2023-25호,Gly-Ala-Val-Gly-Pro-Ala,20230919,20230919
EPA 및 DHA 함유 유지,"(가) 의약품(항응고제, 항혈소판제, 혈압강하제 등) 복용 시 전문가와 상담할 것
(나) 개인에 따라 피부 관련 이상반응이 발생할 수 있음
(다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 기능성 내용 : 혈중 중성지질 개선･혈행 개선･기억력 개선･건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음,0.5,2.24,g,건강기능식품의 기준 및 규격 2-16,EPA와 DHA,20080626,20241108
와사비잎추출물(NCWL01)(제2023-18호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",250,250,mg,2023-18,이소비텍신(Isovitexin),20231026,20231026
저분자콜라겐펩타이드(제2023-33호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음
          ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
(영문) ① May help to maintain skin moisturizing
          ② May help to maintain skin health from skin damage by UV radiation",2,2,g/일,제2023-33호,Gly-Pro-Val-Gly-Pro-Ser,20231117,20231117
유청단백지질추출물(제2023-30호),"(1) 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음
          ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
(영문) ① May help to moisturize (dry) skin
         ② May help to maintain good skin health by protecting against damage from UV exposure",600,600,mg/일,제2023-30호,Sphingomyelin,20240105,20240105
Lactiplantibacillus plantarum C29 프로바이오틱스와 발효대두분말의 복합물(DW2009)(제2022-43호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(5) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것","(국문) 노화로 저하된 인지기능 개선에 도움을 줄 수 있음
(영문) May help to improve cognitive function affected by aging",800,800,mg/일,제2022-43호,"프로바이오틱스 수, 소야사포닌Ⅰ(SoyasaponinⅠ)",20240312,20240312
저분자유청단백가수분해물(제2023-21호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 
(2) 특정질환(우유 및 유제품에 대한 알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 근력개선에 도움을 줄 수 있음
(영문) May help to improve muscle strength",6,6,g/일,제2023-21호,Leu-Asp-Ile-Gln-Lys,20240429,20240429
백편두추출분말(NOVAponinⓇ)(제2024-6호),"(1) 임산부 및 수유부는 섭취를 피할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 위 점막을 보호하여 위 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy stomach by protecting gastric mucosa",715,715,mg/일,제2024-6호,치쿠세츠사포닌 IVa(Chikusetsusaponin IVa),20240604,20240604
루바브뿌리추출물(ERr731Ⓡ)(제2024-17호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의할 것
(3) 메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있음
(4) 알레르기 체질이거나 특정 질환이 있는 사람은 섭취 전 전문가와 상담할 것
(5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 갱년기 여성 건강에 도움을 줄 수 있음
(영문) May help to maintain female health in menopause",4,4,mg/일,제2024-17호,라폰티신(Rhaponticin),20240725,20240725
돈태반 발효추출물(제2019-31호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 피로 개선에 도움을 줄 수 있음
(영문) May help to improve fatigue",320,320,mg/일,,"L-Leucine, L-Lysine, L-Leucylglycine",20200217,20201029
배초향 추출물(Agatri)(제2020-4호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문)
-피부보습에 도움을 줄 수 있음
-자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
(영문)
-May help to maintain skin moisturizing
-May help to maintain skin health from skin damage by UV radiation",1,1,g/일,배초향 추출물(Agatri)(제2020-4호),틸리아닌(Tilianin),20200721,20210630
발효우슬등복합물(제2020-12호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
-소화불량, 속쓰림 등이 나타날 수 있음
-혈액응고방지제 또는 혈당강하제를 복용하는 분은 섭취에 주의","(국문) 관절건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint",1,1,g/일,발효우슬등복합물(제2020-12호),"20-Hydroxyecdysone(발효우슬추출물), Decursin(당귀추출물), Pinoresinol diglucoside(두충추출물)",20200825,20200825
구절초추출물(제2021-12호),"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
-특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
-이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 관절 및 연골 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint and cartilage",250,250,mg,제2021-12호,리나린(Linarin),20211013,20211013
뽕나무가지주정추출분말(제2021-15호),"(1)영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 혈당조절에 도움을 줄 수 있음 (영문) May help to maintain healthy blood glucose levels,2,2,g,제2021-15호,옥시레스베라트롤,20220121,20220121
레몬밤민들레추출복합물(LD100)(제2022-23호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 의약품(수면유도제, 갑상선호르몬제, 중추신경억제제)을 복용시 섭취 전 전문의와 상담할 것","(국문) 간 건강에 도움을 줄 수 있음 
(영문) May help to protect liver",500,500,mg,,"Chicoric acid(치코릭산), Rosmarinic acid(로즈마린산)",20220620,20220620
발아발효콩추출물(제2022-8호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 삼가야 함
(2) 특정 질환(알레르기 체질 등)이 있는 사람은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 에스트로겐 호르몬 또는 대두 이소플라본에 민감한 사람은 섭취에 주의
(5) 메스꺼움 등 소화계통의 불편함을 유발할 수 있음","(국문) 갱년기 여성 건강에 도움을 줄 수 있음
(영문) May help to maintain female health in menopause",1,1,g/일,건강기능식품 기능성 원료 인정(제2022-8호),"쿠메스테롤(Coumestrol), 이소플라본(Isoflavone)",20220711,20220711
유산균발효마늘추출분말(제2016-16호),-,"(국문) 간건강에 도움을 줄 수 있음
(영문) May help protect liver",1.8,1.8,g/일,기능성원료 인증서(제2016-16호),cycloalliin,20221122,20221122
루바브뿌리추출물(제2022-28호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것
(2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의할 것
(3) 메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있음
(4) 알레르기 체질이거나 특정질환이 있는 사람은 섭취 전      전문가와 상담할 것
(5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 갱년기 여성 건강에 도움을 줄 수 있음
(영문) May help to maintain female health in menopause",4,4,mg/일,제2022-28호,라폰티신(Rhaponticin),20230112,20230112
레몬버베나추출물 등 복합물(티에뜨레Ⓡ)(제2022-13호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 당뇨, 혈압 등의 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",500,500,mg/일,제2022-13호,"Verbascoside, Cyanidin-3-O-sambubioside + Delphinidin-3-O-sambubioside",20230317,20230317
저분자콜라겐펩타이드(제2023-14호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 피부 보습에 도움을 줄 수 있음
       ② 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
        ③ 관절 건강에 도움을 줄 수 있음
(영문) ① May help to moisturize (dry) skin
        ② May help to maintain good skin health by protecting against damage from UV exposure
        ③ May help to maintain healthy joint",4000,1000,mg/일,2023-14,Glycine-Proline-Hydroxyproline(Gly-Pro-Hyp),20230616,20250828
Lactiplantibacillus plantarum HAC01 프로바이오틱스(제2022-21호),"(1) 질환이 있거나 의약품 복용 시 전문가와 상담할 것
(2) 특정질환(알레르기 체질, 단장증후군 등)이 있는 분은 섭취에 주의
(3) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의
(4) 어린이가 함부로 섭취하지 않도록 일일 섭취량 방법을 지도할 것
(5) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 식후 혈당 상승 억제에 도움을 줄 수 있음
(영문) May help to suppress the increase of blood glucose level after meals",4000000000,4000000000,CFU/일,제2022-21호,프로바이오틱스 수,20230724,20230724
와사비잎추출물(NCWL01)(제2023-17호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat",250,250,mg,제2023-17호,이소비텍신(Isovitexin),20230804,20230804
